,mild_blood,mild_fantasy_violence,mild_language,mild_suggestive_themes,mild_violence,no_descriptors,nudity,partial_nudity,sexual_content,sexual_themes,simulated_gambling,strong_language,suggestive_themes,use_of_alcohol,use_of_drugs_and_alcohol,esrb_rating
1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
184,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
788,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
29,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3
465,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
1262,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1273,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1268,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
720,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
988,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1246,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
91,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3
326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1501,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
1654,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1284,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
705,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3
1471,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1477,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2
1155,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1880,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
357,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
908,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
475,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
248,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
